filename,doc_id
486_AM Lille_PAT-118_2156_2.jpeg,486
487_AM Lille_PAT_6-66_1.jpg,487
543_AM Lille_PAT-6-67.jpg,543
656_RAGent_GW2_684_1.jpg,656
660_RA Bergen AEM.08.001_58_1.jpg,660
661_RA Bergen AEM.08.001_56_1.jpg,661
662_RA Bergen AEM.08.001_52_1.jpg,662
663_RA Bergen AEM.08.001_53_1.jpg,663
664_RA Bergen AEM.08.001_38_1.jpg,664
665_1_RABergen_ AEM.08.001_27.jpg,665
667_SAGent_Bijloke_E40 (1).JPG,667
668_SAGent_Bijloke_E41 (1).JPG,668
669_SAGent_Bijloke_F17 (1).JPG,669
670_SAGent_Bijloke_F26 (1).JPG,670
671_SAGent_Bijloke_F29 (1).JPG,671
672_SAGent_Bijloke_F33 (1).JPG,672
673_SAGent_Bijloke_F34 (1).JPG,673
674_SAGent_Bijloke_F35 (1).JPG,674
675_SAGent_Bijloke_F38 (1).JPG,675
676_SAGent_Bijloke_F40 (1).JPG,676
689_AM Lille_PAT-178_3825_2.jpeg,689
701_AM Lille_PAT-120-2192_1.jpg,701
702_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_69_1.jpeg,702
703_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_70_1.jpeg,703
704_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_62_2.jpeg,704
705_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_64_2.jpeg,705
706_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_76_1.jpeg,706
707_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_75_2.jpeg,707
708_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_86_2.jpeg,708
709_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_88_1.jpeg,709
710_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_81_2.jpeg,710
712_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_92_2.jpeg,712
